sep=,
"Location","Document URI","Text","Annotation","Contributor","Date"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","agnosco monitus","32 agnosco monitus <Stat. Theb. 1, 491-492> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","mille carinis","34 mille carenis <Verg. Aen. 2, 198>; <Ov. met. 12, 37> <Ov. met. 13, 182> D ?","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","coniurat Atridis","36 coniurat Atridis <Ov. ars. 1, 687> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","angunt","183 angunt <Verg. Aen. 9,89> T mère inquiète","Mélissande Tomcik","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","Eurotae","180 Eurotae qualis <Verg. Aen. 1, 498> T comparaison avec Diane","Mélissande Tomcik","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","Itala virtus","14 Itala virtus <Verg. Aen. 12, 827>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","prima","163 prima lanugine <Verg. Aen. 10, 324> T jeunesse","Mélissande Tomcik","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","da veniam ","17 da veniam <stat. theb. 11, 710>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","pectora mulcens","182 pectora mulcens <Verg. Aen. 1, 197> <Verg. Aen. 1, 153> T ","Mélissande Tomcik","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","sudare parumper","17 sudare parumper pulvere <stat. theb. 1, 422> ?
<stat. ach. 1, 159>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","tu","14 at tu Itala <Stat. Theb. 1, 17-22> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml"," Itala virtus","14 Itala virtus <Verg. Aen. 12, 827>D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","praesagia somni","22 praesagia somni <Stat. Theb. 5, 620>D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","culpatum","23 culpatum <Verg. Aen. 2, 602> D; <Stat. Theb. 3, 702> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","tu","14 at tu Itala <Stat. Theb. 1, 17-22> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","tu","14 at tu Itala <Stat. Theb. 1, 17-22> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","fervent","28 fervent <Verg. Aen. 4, 409> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","non explicat","28 non explicat <Stat. Theb. 1, 146> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml"," Itala virtus","14 Itala virtus <Verg. Aen. 12, 827>D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml"," Itala virtus","14 Itala virtus <Verg. Aen. 12, 827>D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","agnosco monitus","32 agnosco monitus <Stat. Theb. 1, 491-492> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","tu","14 at tu Itala <Stat. Theb. 1, 17-22> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","mille carinis","34 mille carenis <Verg. Aen. 2, 198>; <Ov. met. 12, 37> <Ov. met. 13, 182> D ?","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","tu","14 at tu Itala <Stat. Theb. 1, 17-22> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","coniurat Atridis","36 coniurat Atridis <Ov. ars. 1, 687> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","angunt","183 angunt <Verg. Aen. 9,89> T mère inquiète","Mélissande Tomcik","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","Eurotae","180 Eurotae qualis <Verg. Aen. 1, 498> T comparaison avec Diane","Mélissande Tomcik","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","Itala virtus","14 Itala virtus <Verg. Aen. 12, 827>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","prima","163 prima lanugine <Verg. Aen. 10, 324> T jeunesse","Mélissande Tomcik","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","da veniam ","17 da veniam <stat. theb. 11, 710>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","pectora mulcens","182 pectora mulcens <Verg. Aen. 1, 197> <Verg. Aen. 1, 153> T ","Mélissande Tomcik","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","sudare parumper","17 sudare parumper pulvere <stat. theb. 1, 422> ?
<stat. ach. 1, 159>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","ungula campo","123 ungula campo <Verg. Aen. 1, 197> <Verg. Aen. 1, 153> T","Mélissande Tomcik","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","praesagia somni","22 praesagia somni <stat. theb. 5, 620> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml"," turba comitante","27 turba camitante <ov. met. 6, 594> ? N
","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","Itala virtus","14 Itala virtus <Verg. Aen. 12, 827>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","tu","14 at tu Itala <Stat. Theb. 1, 17-22> D","Mélissande Tomcik","26 Feb 2015"
