sep=,
"Location","Document URI","Text","Annotation","Contributor","Date"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","da veniam","17 da ueniam 
<Ov. Her. 4,156> U
<Ov. Her. 7, 105> U
<Ov. Her. 17, 225> U
<Ov. Her. 19, 4> U
<Ov. Her. 19, 149> U
<Ov. ars. 2, 38> U
<Ov. Met. 11, 132> U
<Ov. am. 3, 1, 69> U
<Stat. Theb 9, 764> U
<Stat. Theb 11, 710> U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","hoc sudare parumper
pulvere","17-18 hoc sudare parumper/puluere
<Stat. Theb 1, 422-3>U
<Stat. Theb 3, 210-211>U
<Stat. Theb 3, 326-327>U
<Stat. Theb 6, 469-470>U
<Stat. Theb 8, 7-8>U
<Stat. Theb 9, 710>U
<Stat. Theb 10, 37>U
<Stat. Ach. 1, 159>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","molimur","19 molimur 
<Verg. Aen. 3, 5-6>U
<Ov. ars. 1, 266>U
<Ov. ars. 1, 537>U
<Stat. Theb. 4, 34-37>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","magnusque","19 magnus Achilles 
<Verg. Aen. 11, 438>U
<Ov. am. 1, 9, 33>U
<Ov. ars. 2, 711>U
<Ov. Met. 8, 309>U
<Ov. Met. 12, 163>U
<Ov. Met. 12, 615>U
<Ov. Met. 13, 30>U
<Ov. Met. 13, 133-134>U
<Ov. Met. 11, 265>U
<Stat. Ach. 1, 513>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","tibi praeludit","19 tibi praeludit
<Stat. Theb. 6, 3-4>U
<Verg. Aen. 6, 1>U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","Oebalio","20 Oebalio de litore
<Ov. Her. 16, 128>U
<Ov. rem. 458>U
<Ov. Met. 13, 396>U
<Ov. Met. 10, 162-195>U
<Stat. Theb. 2, 164>U
<Stat. Theb. 6, 822>U
<Stat. Theb. 8, 429>U
<Stat. Theb. 9, 690>U
<Stat. Theb. 10, 503>U
<Stat. Ach. 2, 154>U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","virtus","14 uirtus <Verg. Aen. 10, 410>","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","pastor
Dardanus","20-21 pastor Dardanus 
<Stat. Ach. 2, 51>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","Itala virtus","14 Itala uirtus <Verg. Aen. 12, 827> U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","incautas","21 incautas Amyclas
<Ov. ars. 2, 3-6>U
<Ov. ars 2, 359-373>U
<Verg. Aen. 10, 564>U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","olim","16 olim 
<Stat. Theb. 1, 312>U
<Stat. Theb. 6, 387>U
<Stat. Theb. 7, 304>U
<Stat. Theb. 7, 779>U
<Stat. Theb. 10, 362>U
<Stat. Ach. 1, 312> U
<Ov. ars. 2, 125> U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","da veniam","17 da ueniam 
<Ov. Her. 4,156> U
<Ov. Her. 7, 105> U
<Ov. Her. 17, 225> U
<Ov. Her. 19, 4> U
<Ov. Her. 19, 149> U
<Ov. ars. 2, 38> U
<Ov. Met. 11, 132> U
<Ov. am. 3, 1, 69> U
<Stat. Theb 9, 764> U
<Stat. Theb 11, 710> U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","virtus","14 uirtus <Verg. Aen. 10, 410>","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","hoc sudare parumper
pulvere","17-18 hoc sudare parumper/puluere
<Stat. Theb 1, 422-3>U
<Stat. Theb 3, 210-211>U
<Stat. Theb 3, 326-327>U
<Stat. Theb 6, 469-470>U
<Stat. Theb 8, 7-8>U
<Stat. Theb 9, 710>U
<Stat. Theb 10, 37>U
<Stat. Ach. 1, 159>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","Itala virtus","14 Itala uirtus <Verg. Aen. 12, 827> U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","molimur","19 molimur 
<Verg. Aen. 3, 5-6>U
<Ov. ars. 1, 266>U
<Ov. ars. 1, 537>U
<Stat. Theb. 4, 34-37>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","olim","16 olim 
<Stat. Theb. 1, 312>U
<Stat. Theb. 6, 387>U
<Stat. Theb. 7, 304>U
<Stat. Theb. 7, 779>U
<Stat. Theb. 10, 362>U
<Stat. Ach. 1, 312> U
<Ov. ars. 2, 125> U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","magnusque","19 magnus Achilles 
<Verg. Aen. 11, 438>U
<Ov. am. 1, 9, 33>U
<Ov. ars. 2, 711>U
<Ov. Met. 8, 309>U
<Ov. Met. 12, 163>U
<Ov. Met. 12, 615>U
<Ov. Met. 13, 30>U
<Ov. Met. 13, 133-134>U
<Ov. Met. 11, 265>U
<Stat. Ach. 1, 513>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","virtus","14 uirtus <Verg. Aen. 10, 410>","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","Itala virtus","14 Itala uirtus <Verg. Aen. 12, 827> U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","olim","16 olim 
<Stat. Theb. 1, 312>U
<Stat. Theb. 6, 387>U
<Stat. Theb. 7, 304>U
<Stat. Theb. 7, 779>U
<Stat. Theb. 10, 362>U
<Stat. Ach. 1, 312> U
<Ov. ars. 2, 125> U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","da veniam","17 da ueniam 
<Ov. Her. 4,156> U
<Ov. Her. 7, 105> U
<Ov. Her. 17, 225> U
<Ov. Her. 19, 4> U
<Ov. Her. 19, 149> U
<Ov. ars. 2, 38> U
<Ov. Met. 11, 132> U
<Ov. am. 3, 1, 69> U
<Stat. Theb 9, 764> U
<Stat. Theb 11, 710> U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","hoc sudare parumper
pulvere","17-18 hoc sudare parumper/puluere
<Stat. Theb 1, 422-3>U
<Stat. Theb 3, 210-211>U
<Stat. Theb 3, 326-327>U
<Stat. Theb 6, 469-470>U
<Stat. Theb 8, 7-8>U
<Stat. Theb 9, 710>U
<Stat. Theb 10, 37>U
<Stat. Ach. 1, 159>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","molimur","19 molimur 
<Verg. Aen. 3, 5-6>U
<Ov. ars. 1, 266>U
<Ov. ars. 1, 537>U
<Stat. Theb. 4, 34-37>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","magnusque","19 magnus Achilles 
<Verg. Aen. 11, 438>U
<Ov. am. 1, 9, 33>U
<Ov. ars. 2, 711>U
<Ov. Met. 8, 309>U
<Ov. Met. 12, 163>U
<Ov. Met. 12, 615>U
<Ov. Met. 13, 30>U
<Ov. Met. 13, 133-134>U
<Ov. Met. 11, 265>U
<Stat. Ach. 1, 513>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","tibi praeludit","19 tibi praeludit
<Stat. Theb. 6, 3-4>U
<Verg. Aen. 6, 1>U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","Oebalio","20 Oebalio de litore
<Ov. Her. 16, 128>U
<Ov. rem. 458>U
<Ov. Met. 13, 396>U
<Ov. Met. 10, 162-195>U
<Stat. Theb. 2, 164>U
<Stat. Theb. 6, 822>U
<Stat. Theb. 8, 429>U
<Stat. Theb. 9, 690>U
<Stat. Theb. 10, 503>U
<Stat. Ach. 2, 154>U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","pastor
Dardanus","20-21 pastor Dardanus 
<Stat. Ach. 2, 51>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","incautas","21 incautas Amyclas
<Ov. ars. 2, 3-6>U
<Ov. ars 2, 359-373>U
<Verg. Aen. 10, 564>U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","virtus","14 uirtus <Verg. Aen. 10, 410>","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","Itala virtus","14 Itala uirtus <Verg. Aen. 12, 827> U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","olim","16 olim 
<Stat. Theb. 1, 312>U
<Stat. Theb. 6, 387>U
<Stat. Theb. 7, 304>U
<Stat. Theb. 7, 779>U
<Stat. Theb. 10, 362>U
<Stat. Ach. 1, 312> U
<Ov. ars. 2, 125> U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","da veniam","17 da ueniam 
<Ov. Her. 4,156> U
<Ov. Her. 7, 105> U
<Ov. Her. 17, 225> U
<Ov. Her. 19, 4> U
<Ov. Her. 19, 149> U
<Ov. ars. 2, 38> U
<Ov. Met. 11, 132> U
<Ov. am. 3, 1, 69> U
<Stat. Theb 9, 764> U
<Stat. Theb 11, 710> U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","hoc sudare parumper
pulvere","17-18 hoc sudare parumper/puluere
<Stat. Theb 1, 422-3>U
<Stat. Theb 3, 210-211>U
<Stat. Theb 3, 326-327>U
<Stat. Theb 6, 469-470>U
<Stat. Theb 8, 7-8>U
<Stat. Theb 9, 710>U
<Stat. Theb 10, 37>U
<Stat. Ach. 1, 159>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","molimur","19 molimur 
<Verg. Aen. 3, 5-6>U
<Ov. ars. 1, 266>U
<Ov. ars. 1, 537>U
<Stat. Theb. 4, 34-37>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","magnusque","19 magnus Achilles 
<Verg. Aen. 11, 438>U
<Ov. am. 1, 9, 33>U
<Ov. ars. 2, 711>U
<Ov. Met. 8, 309>U
<Ov. Met. 12, 163>U
<Ov. Met. 12, 615>U
<Ov. Met. 13, 30>U
<Ov. Met. 13, 133-134>U
<Ov. Met. 11, 265>U
<Stat. Ach. 1, 513>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","tibi praeludit","19 tibi praeludit
<Stat. Theb. 6, 3-4>U
<Verg. Aen. 6, 1>U
","Kevin Udrisard","26 Feb 2015"
